titulo,subtitulo,fecha_extraccion
Lista de aplicaciones gratuitas para escanear a PDF cualquier documento desde el celular,,2025-04-02 16:14:33
RuneScape: Dragonwilds será un nuevo juego de supervivencia en el universo de RuneScape,,2025-04-02 16:14:33
Xbox y su exclusividad: Cinco juegos que podrían llegar a PlayStation 5 en el futuro cercano,,2025-04-02 16:14:33
Nintendo Direct | Donkey Kong Bananza es el regreso de Donkey Kong a un 3D absoluto como en la Nintendo 64,,2025-04-02 16:14:33
"Nintendo Direct | Hyrule Warriors: Age of Imprisonment, la mejor forma de traer el mundo de Zelda en otro formato",,2025-04-02 16:14:33
Rescataron con vida a dos hombres que pasaron cinco días bajo los escombros tras el terremoto en Myanmar,,2025-04-02 16:14:33
El presidente interino de Corea del Sur pidió acatar el fallo que definirá el futuro político de Yoon Suk-yeol,,2025-04-02 16:14:33
Francia manifestó su apoyo a Dinamarca en medio de las tensiones con EEUU por Groenlandia,,2025-04-02 16:14:33
La diva de la música rusa Alla Pugacheva criticó la invasión a Ucrania en sus dos nuevas canciones,,2025-04-02 16:14:33
"Una mujer es asesinada cada 21 horas en Ecuador, según alianza feminista",,2025-04-02 16:14:33
Un informe comercial advirtió a Donald Trump sobre la reforma de pensiones y la piratería en Chile,,2025-04-02 16:14:33
